iteration,red_power,blue_power,cofm_ratio,win_side
248,12.452251,5.8361073,2.13,RED
249,11.359693,5.8365064,1.95,RED
250,7.0665207,7.051041,1.0,BLUE
251,11.861855,8.759755,1.35,RED
252,9.970448,8.535126,1.17,RED
253,12.343494,7.0031767,1.76,RED
254,11.577438,5.4250846,2.13,RED
255,7.52229,8.253197,0.91,BLUE
256,9.132312,8.998052,1.01,BLUE
257,8.962882,7.521069,1.19,RED
258,12.058319,5.799104,2.08,RED
259,8.932316,4.5061936,1.98,RED
260,6.8584237,5.599806,1.22,RED
261,8.7467985,6.9039555,1.27,RED
262,8.753948,9.263192,0.95,BLUE
263,8.692778,5.683443,1.53,RED
264,9.237545,6.89986,1.34,RED
265,10.094582,5.0103874,2.01,RED
266,11.100023,7.5280824,1.47,RED
267,6.591838,6.3569927,1.04,BLUE
268,9.847521,6.368609,1.55,RED
269,6.513864,7.198672,0.9,BLUE
270,12.176262,5.5863404,2.18,RED
271,9.876094,4.984468,1.98,RED
272,11.416433,7.1400304,1.6,RED
273,6.614251,8.948487,0.74,BLUE
274,6.7817073,5.7215424,1.19,RED
275,12.282837,4.950489,2.48,RED
276,13.275591,7.9660006,1.67,RED
277,8.952753,6.7436523,1.33,RED
278,11.516355,7.4261904,1.55,RED
279,10.075917,6.4503846,1.56,RED
280,7.811906,7.440705,1.05,BLUE
281,7.9817047,7.401401,1.08,BLUE
282,13.110338,6.979125,1.88,RED
283,10.53327,7.2580442,1.45,RED
284,8.752154,6.995919,1.25,RED
285,8.751574,5.37442,1.63,RED
286,8.505401,5.878272,1.45,RED
287,12.975952,8.434047,1.54,RED
288,10.620347,7.725665,1.37,RED
289,7.5396833,6.290405,1.2,RED
290,9.090562,5.318231,1.71,RED
291,8.464115,6.5357265,1.3,RED
292,9.807225,7.845255,1.25,RED
293,6.915368,6.4584737,1.07,BLUE
294,10.884409,6.4596324,1.68,RED
295,8.921845,7.0188155,1.27,RED
296,10.270464,6.453794,1.59,RED
297,6.513425,7.966787,0.82,BLUE
298,9.779306,7.1532836,1.37,RED
299,11.533552,8.457129,1.36,RED
300,6.8750978,7.1519027,0.96,BLUE
301,10.635097,4.9033475,2.17,RED
302,11.777586,5.4689755,2.15,RED
303,10.365945,5.202583,1.99,RED
304,11.581528,7.1430693,1.62,RED
305,8.850785,5.1101403,1.73,RED
306,7.6908956,8.477736,0.91,BLUE
307,8.4256,8.098608,1.04,BLUE
308,6.0815034,8.01841,0.76,BLUE
309,6.33877,6.3875117,0.99,BLUE
310,10.153121,8.272632,1.23,RED
311,11.364566,7.5502796,1.51,RED
312,10.269965,6.391801,1.61,RED
313,8.313948,6.3776355,1.3,RED
314,8.966261,8.045084,1.11,RED
315,12.735399,5.053623,2.52,RED
316,6.868782,8.654219,0.79,BLUE
317,8.870284,5.1217422,1.73,RED
318,10.953723,8.731147,1.25,RED
319,12.724826,8.391285,1.52,RED
320,7.4201283,7.539562,0.98,BLUE
321,11.045591,8.5389595,1.29,RED
322,9.080358,8.586527,1.06,BLUE
323,11.219502,8.427737,1.33,RED
324,10.272219,6.774341,1.52,RED
325,11.5890875,5.5347543,2.09,RED
326,8.309013,5.22551,1.59,RED
